Date,Price,Open,High,Low,Change
1985-03-25,0.6877,0.6877,0.6877,0.6877,-0.54
1985-03-26,0.6938,0.6938,0.6938,0.6938,0.89
1985-03-27,0.7077,0.7077,0.7077,0.7077,2
1985-03-28,0.7124,0.7124,0.7124,0.7124,0.66
1985-03-29,0.7209,0.7209,0.7209,0.7209,1.19
1985-03-30,0.7209,0.7209,0.7209,0.7209,1.19
1985-03-31,0.7209,0.7209,0.7209,0.7209,1.19
1985-04-01,0.7167,0.7167,0.7167,0.7167,-0.58
1985-04-02,0.7082,0.7082,0.7082,0.7082,-1.19
1985-04-03,0.7132,0.7132,0.7132,0.7132,0.71
1985-04-04,0.7033,0.7033,0.7033,0.7033,-1.39
1985-04-05,0.7033,0.7033,0.7033,0.7033,-1.39
1985-04-06,0.7033,0.7033,0.7033,0.7033,-1.39
1985-04-07,0.7033,0.7033,0.7033,0.7033,-1.39
1985-04-08,0.7033,0.7033,0.7033,0.7033,-1.39
1985-04-09,0.7041,0.7041,0.7041,0.7041,0.11
1985-04-10,0.7129,0.7129,0.7129,0.7129,1.25
1985-04-11,0.7222,0.7222,0.7222,0.7222,1.3
1985-04-12,0.7237,0.7237,0.7237,0.7237,0.21
1985-04-13,0.7237,0.7237,0.7237,0.7237,0.21
1985-04-14,0.7237,0.7237,0.7237,0.7237,0.21
1985-04-15,0.7376,0.7376,0.7376,0.7376,1.92
1985-04-16,0.7369,0.7369,0.7369,0.7369,-0.09
1985-04-17,0.737,0.737,0.737,0.737,0.01
1985-04-18,0.7441,0.7441,0.7441,0.7441,0.96
1985-04-19,0.7476,0.7476,0.7476,0.7476,0.47
1985-04-20,0.7476,0.7476,0.7476,0.7476,0.47
1985-04-21,0.7476,0.7476,0.7476,0.7476,0.47
1985-04-22,0.7429,0.7429,0.7429,0.7429,-0.63
1985-04-23,0.7288,0.7288,0.7288,0.7288,-1.9
1985-04-24,0.713,0.713,0.713,0.713,-2.17
1985-04-25,0.7078,0.7078,0.7078,0.7078,-0.73
1985-04-26,0.7109,0.7109,0.7109,0.7109,0.44
1985-04-27,0.7109,0.7109,0.7109,0.7109,0.44
1985-04-28,0.7109,0.7109,0.7109,0.7109,0.44
1985-04-29,0.7132,0.7132,0.7132,0.7132,0.32
1985-04-30,0.7174,0.7174,0.7174,0.7174,0.59
1985-05-01,0.7073,0.7073,0.7073,0.7073,-1.41
1985-05-02,0.7041,0.7041,0.7041,0.7041,-0.45
1985-05-03,0.6948,0.6948,0.6948,0.6948,-1.32
1985-05-04,0.6948,0.6948,0.6948,0.6948,-1.32
1985-05-05,0.6948,0.6948,0.6948,0.6948,-1.32
1985-05-06,0.6948,0.6948,0.6948,0.6948,-1.32
1985-05-07,0.7012,0.7012,0.7012,0.7012,0.92
1985-05-08,0.6978,0.6978,0.6978,0.6978,-0.48
1985-05-09,0.7122,0.7122,0.7122,0.7122,2.06
1985-05-10,0.7146,0.7146,0.7146,0.7146,0.34
